0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
70 to 74 years,,97.908,100.836,106.871,110.148,113.493,66.655,67.713,71.589,74.249,76.278,164.567,168.549,178.46,184.39,189.772,10000,10804,11530,12580,13401,6691,7280,7782,8891.5,10050.5,8371,9135,9724,10787,11961
75 to 79 years,,45.023,46.25,48.163,48.988,49.122,34.823,35.836,37.306,37.545,38.068,79.843,82.087,85.471,86.537,87.195,6336,6504,6816,7535.5,8454,5385,5529,5560.5,6062,6600,5868,6000,6164.5,6773,7496.5
80 to 84 years,,25.699,25.075,24.852,24.25,23.759,23.525,23.182,23.097,22.301,21.213,49.222,48.256,47.946,46.556,44.97,5820,5978,5923,6276,6759,5683,5802,5586,5878.5,6203,5739,5876,5745,6051,6458
85 years and over,,19.724,15.783,15.837,16.303,15.937,23.641,20.054,20.123,21.072,20.27,43.369,35.836,35.959,37.369,36.205,5000,6175.5,6300,6355.5,6922,5291.5,6377,6378,6375,6975,5159,6299,6347,6367,6954
Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry and fishing",,293.725,291.565,287.856,292.065,296.143,137.791,131.393,130.043,134.698,141.34,431.517,422.951,417.903,426.763,437.482,5230,5485,6240,6890.5,7500,3701,4233,4743,4911,5404.5,4651,5006,5598,6021,6626
Mining,,202.266,207.305,204.378,189.835,172.627,41.874,43.2,40.934,35.94,33.357,244.138,250.511,245.314,225.779,205.981,88121.5,101455,109750,114069,117064,55355,64999,71387,77072,76322,81078,93639,102171.5,107362.5,110071
Manufacturing,,788.615,786.296,758.974,748.812,729.746,310.907,309.518,299.28,298.073,295.05,1099.523,1095.816,1058.256,1046.885,1024.802,45433,46366,48889,49992,51225,25133,25846,27762,28092,28393,39391,40130,42637,43559,44496
"Electricity, gas, water and waste services",,104.011,105.325,107.848,108.446,101.04,32.559,32.911,33.353,33.742,32.068,136.578,138.236,141.204,142.189,133.107,76430,77855.5,79302,79590.5,83146,52754,54740,55346,57397.5,60540.5,69426,70970,72527,73198.5,76581.5
Construction,,985.303,1023.254,1031.887,1062.12,1051.17,182.618,182.565,183.94,186.601,174.392,1167.921,1205.816,1215.833,1248.717,1225.557,34783,35735,35159,36187,36132,22980,25000,23009,24440,25057,32589,33816,32996,34113,34389
Wholesale trade,,427.317,433.557,440.411,444.538,439.483,245.242,247.425,243.027,248.696,250.067,672.558,680.98,683.44,693.236,689.547,43917,45744,47448.5,48606,49568,26932,28109,30161,30426,30946.5,37612,39230,41249,42000,42719
Retail trade,,687.771,695.028,693.805,705.834,696.422,927.229,934.287,932.293,930.386,920.742,1615.004,1629.315,1626.1,1636.211,1617.168,17237,18792,19828,21125,21899,11510,12325,13331,14320,15116,13500,14574,15603,16768,17572
Accommodation and food services,,558.169,564.522,589.782,611.734,625.653,689.171,696.924,721.989,749.063,760.462,1247.336,1261.438,1311.769,1360.799,1386.111,7095,7486,7711,8020,8427,5621,5831,6065,6308,6560,6202,6486,6723,7000,7312
"Transport, postal and warehousing",,496.232,508.106,516.646,508.461,496.509,158.251,159.445,159.73,157.668,151.662,654.48,667.546,676.375,666.137,648.166,40665,42919,44844,45373,44401,29260,32340,33158,33901,34385,37050,39585,41190,41645,41212
Information media and telecommunications,,155.758,153.169,154.11,150.636,155.866,121.161,120.363,118.236,114.807,118.543,276.916,273.537,272.348,265.439,274.411,44786.5,44403,43676.5,46184,44999,25246,24072,24475,26218,25633.5,34617,33404.5,33121,35631,34391
Finance and insurance services,,314.08,306.63,315.383,326.575,339.424,352.437,346.055,336.577,348.701,363.226,666.511,652.679,651.955,675.28,702.645,43128,44068,45302,45934,46341,31471,31837.5,34919,35931,35687,35594,36101,38699,40032,40084
"Rental, hiring and real estate services",,151.839,152.682,153.878,165.455,170.191,150.985,153.781,159.665,169.171,174.029,302.827,306.461,313.538,334.624,344.216,26804,26568,28608.5,29542,30938.5,17590,18200,19806,20797.5,21857,21346,21725,23317,24263.5,25556
"Professional, scientific and technical services",,667.626,669.813,679.811,695.959,708.184,571.645,554.301,575.015,590.406,595.192,1239.269,1224.117,1254.817,1286.365,1303.376,44529,48810.5,49427,48033,48765,20995,24690,23953,25221,26716,31552,35784,35436,35553,36680
Administrative and support services,,801.317,796.607,793.67,837.476,860.064,642.309,645.801,624.943,657.347,671.266,1443.625,1442.408,1418.613,1494.826,1531.329,10618,11378,11792,11585,12124,8461,9178,10085,10214,10665,9588,10303,10983,10948,11447
Public administration and safety,,522.885,571.006,560.234,552.378,537.094,459.921,503.157,511.278,499.964,463.409,982.807,1074.163,1071.51,1052.344,1000.498,59839,57252,60347.5,63112,69106,45947,44402,43458,45961,53974.5,53406,51269,52513,55218,62109.5
Education and training,,417.097,424.625,426.315,428.529,438.712,921.756,963.794,980.401,973.524,1001.572,1338.856,1388.419,1406.722,1402.054,1440.284,27169.5,26053,26514,27228,28343,24606,23579,24590,26771,28703,25165,24113,24953,26869,28615
Health care and social assistance,,376.159,390.876,388.043,398.144,410.847,1336.705,1415.948,1434.74,1465.285,1508.783,1712.868,1806.83,1822.786,1863.429,1919.63,42612.5,42240,45835.5,46904.5,48599.5,30038,29550,31927,33272,35161,32071,31550,34129,35400,37305
Arts and recreation services,,154.339,159.338,159.74,161.998,162.567,160.43,166.767,167.138,172.453,171.885,314.774,326.109,326.879,334.453,334.452,7560,8099,8614,9079,10048.5,5248,5401,5851,6188,6800,6183,6500,6967,7359,8106
Other services,,277.101,276.539,281.872,285.767,291.702,272.583,280.486,293.371,301.586,309.511,549.692,557.033,575.237,587.348,601.215,23447.5,23587.5,24135,24143.5,24115,14204.5,14924,15240,15510,16096,18039.5,18541,18919,19033,19369.5
Institutional sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-financial corporations,,5177.499,5286.325,5312.418,5419.173,5419.557,4020.819,4099.485,4150.383,4244.941,4324.579,9198.317,9385.812,9462.801,9664.117,9744.14,33561,35256,36163,36438,36540,17202,18184,19007,19843,20467,24527,25801,26564,27150,27549
Financial corporations,,305.811,298.235,306.731,316.309,327.679,343.121,336.173,326.851,337.674,351.018,648.933,634.408,633.578,653.985,678.698,43580,44454,45563.5,46109,46664,31437,31802.5,34811,35756.5,35546,35716,36212,38714,40004,40105
General government,,924.818,964.034,941.578,924.703,916.16,1514.984,1595.902,1566.212,1537.076,1525.519,2439.799,2559.935,2507.783,2461.775,2441.677,58862,57917.5,61697,63735,68046.5,40533,39254,41981,44795,49189,47131,45591,48677,51400,55860
Households,,1756.39,1734.933,1739.854,1750.286,1722.767,1471.45,1467.51,1488.248,1511.981,1473.82,3227.836,3202.443,3228.104,3262.262,3196.585,15276,15928,16559,16839,17311,8970,9614,10161,10509,11000,11794,12450,13024,13375,13898
Non-profit institutions serving households,,157.173,159.872,164.59,168.371,170.116,297.992,307.791,321.773,328.077,337.682,455.162,467.662,486.366,496.449,507.804,13140,14503,15919.5,16022,17155,18240.5,19436,20918,21870,23350,16569.5,17818.5,19326,19972,21346
Type of legal organisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incorporated Private sector entities,,5090.93,5190.958,5236.831,5365.02,5384.947,3982.145,4053.63,4113.572,4235.956,4328.042,9073.079,9244.581,9350.405,9600.971,9712.991,32515,34238,35122,35318,35500,17264,18200,19118,19841,20417,24131,25364,26198,26680,27102
Unincorporated Private sector entities,,1986.34,1970.764,1978.212,1986.192,1972.381,1721.272,1723.292,1740.486,1763.825,1738.737,3707.608,3694.058,3718.696,3750.016,3711.121,16000,16762,17403,17784,18153,9599,10163,10813,11236,11756,12448,13079,13750,14163,14683
Public sector entities,,1280.786,1325.565,1296.779,1276.877,1253.104,1971.062,2060.712,2033.117,1996.001,1985.149,3251.85,3386.275,3329.896,3272.88,3238.245,57112,56358,59593,61553,65499,37350,36707,38974,41750,45629,44249,43330,45838,48340,52369
Employment size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fewer than 5 employees,,1426.434,1452.923,1468.444,1521.38,1540.283,920.865,957.325,970.084,1030.803,1029.873,2347.301,2410.245,2438.531,2552.175,2570.161,19240,19336,20008,20251,20820,10903,11229,12139,12078,13024,15451,15597,16597,16666,17546
5–19 employees,,1257.833,1274.328,1330.65,1392.058,1374.325,1165.413,1181.594,1224.436,1259.376,1244.191,2423.243,2455.922,2555.088,2651.433,2618.513,20563,21445,22025,22648,22921,11257,11970,12643,13169,13346,15119,15882,16595,17240,17442
20–199 employees,,2083.546,2134.24,2139.243,2188.876,2155.301,1797.872,1840.868,1837.084,1886.532,1840.984,3881.417,3975.107,3976.326,4075.402,3996.286,24379,25858,26876,26326,27360,13559,14426,15507,15706,16883,18253,19378,20426,20348,21464
200 or more employees,,3590.244,3625.798,3573.478,3525.78,3540.52,3790.334,3857.846,3855.57,3819.076,3936.875,7380.578,7483.643,7429.053,7344.856,7477.399,46759,48679,50648,52418,53147,28214,29027,30186,32654,34035,35645,36883,38319,40434,41439
Job duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-13 weeks,,1261.712,1259.981,1208.353,1235.473,1264.063,1047.832,1035.307,989.313,1010.209,1050.979,2309.544,2295.293,2197.668,2245.678,2315.047,3591,3900,3886,3834,3967,2136,2307,2411,2330,2500,2820,3059,3111,3059,3208
14-26 weeks,,920.254,916.165,902.623,931.886,916.529,846.075,837.084,829.066,880.33,855.283,1766.334,1753.252,1731.688,1812.215,1771.816,14720,15387,15045,15220,15670,8565,9042,9013,9527,9936,11433,12032,11857,12228,12632
27-39 weeks,,668.692,680.345,672.067,683.637,667.628,623.332,638.097,619.589,643.141,640.125,1292.028,1318.438,1291.654,1326.772,1307.758,24103,24362,24454,24627,24652,13237,12965,13854.5,14556,15162,18092,17917,18555,19030.5,19313
40 to 52 weeks,,4968.389,5118.278,5230.451,5297.925,5272.386,4930.71,5111.197,5230.489,5252.086,5286.473,9899.093,10229.474,10460.938,10550.013,10558.861,52848,53983,54849,55846,57661,33621,33937,34817,36381,38360,42185,42834,43715,45094,46990
Total (a),,9474.656,9578.152,9539.173,9591.709,9637.917,8532.095,8679.872,8691.434,8769.594,8860.48,18006.754,18258.026,18230.612,18361.306,18498.397,27769,28799,29537,29963,30410,17247,18000,18735,19676,20538,21918,22728,23400,24086,24920
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Totals are higher than the sum of their components due to missing information in the underlying data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
